tour,player1,player2,best_of,round,date,court,scheduled_start,match_status
WTA,Jessica Pegula,Leylah Fernandez,3,R32,2026-09-04,Arthur Ashe Stadium,2026-09-04T11:30:00-04:00,
ATP,Yibing Wu,Carlos Alcaraz,5,R32,2026-09-04,Arthur Ashe Stadium,2026-09-04T13:00:00-04:00,
ATP,Ben Shelton,Denis Shapovalov,5,R32,2026-09-04,Arthur Ashe Stadium,,
WTA,Aryna Sabalenka,Kamilla Rakhimova,3,R32,2026-09-04,Louis Armstrong Stadium,2026-09-04T11:00:00-04:00,
ATP,Alexander Bublik,Tommy Paul,5,R32,2026-09-04,Louis Armstrong Stadium,,
ATP,Valentin Vacherot,Frances Tiafoe,5,R32,2026-09-04,Louis Armstrong Stadium,2026-09-04T19:00:00-04:00,
WTA,Elina Svitolina,Anna Kalinskaya,3,R32,2026-09-04,Louis Armstrong Stadium,,
WTA,Marta Kostyuk,Ekaterina Alexandrova,3,R32,2026-09-04,Grandstand,2026-09-04T11:00:00-04:00,
ATP,Daniil Medvedev,Arthur Rinderknech,5,R32,2026-09-04,Grandstand,,
WTA,Emma Navarro,Karolina Muchova,3,R32,2026-09-04,Grandstand,,
ATP,Jiri Lehecka,Stefanos Tsitsipas,5,R32,2026-09-04,Grandstand,2026-09-04T17:00:00-04:00,
WTA,Jasmine Paolini,Sorana Cirstea,3,R32,2026-09-04,Stadium 17,2026-09-04T11:00:00-04:00,
WTA,Taylor Townsend,Diana Shnaider,3,R32,2026-09-04,Stadium 17,2026-09-04T13:00:00-04:00,
WTA,Ann Li,Linda Noskova,3,R32,2026-09-04,Stadium 17,,
ATP,Alex Michelsen,Daniel Merida,5,R32,2026-09-04,Stadium 17,2026-09-04T16:30:00-04:00,
ATP,Tomas Martin Etcheverry,Mariano Navone,5,R32,2026-09-04,Court 11,2026-09-04T16:00:00-04:00,
