tour,player1,player2,best_of,round,date,court,scheduled_start,match_status
ATP,Alexander Zverev,Karen Khachanov,5,SF,2026-09-11,Arthur Ashe Stadium,2026-09-11T15:00:00-04:00,
ATP,Ben Shelton,Frances Tiafoe,5,SF,2026-09-11,Arthur Ashe Stadium,2026-09-11T19:00:00-04:00,
