tour,player1,player2,best_of,round,date,court,scheduled_start,match_status
WTA,Qinwen Zheng,Elena Rybakina,3,QF,2026-09-09,Arthur Ashe Stadium,2026-09-09T11:30:00-04:00,upcoming
WTA,Mirra Andreeva,Coco Gauff,3,QF,2026-09-09,Arthur Ashe Stadium,2026-09-09T12:30:00-04:00,upcoming
ATP,Karen Khachanov,Alexander Blockx,5,QF,2026-09-09,Arthur Ashe Stadium,2026-09-09T14:00:00-04:00,upcoming
ATP,Alexander Zverev,Botic van de Zandschulp,5,QF,2026-09-09,Arthur Ashe Stadium,2026-09-09T19:30:00-04:00,upcoming
