tour,player1,player2,best_of,round,date,court,scheduled_start,match_status
WTA,Aryna Sabalenka,Linda Noskova,3,QF,2026-09-08,Arthur Ashe Stadium,2026-09-08T11:30:00-04:00,completed
ATP,Frances Tiafoe,Alex Michelsen,5,QF,2026-09-08,Arthur Ashe Stadium,2026-09-08T13:00:00-04:00,in_progress
WTA,Jessica Pegula,Emma Navarro,3,QF,2026-09-08,Arthur Ashe Stadium,2026-09-08T19:00:00-04:00,
ATP,Ben Shelton,Carlos Alcaraz,5,QF,2026-09-08,Arthur Ashe Stadium,,
