tour,player1,player2,best_of,round,date,court,scheduled_start,match_status
ATP,Taylor Fritz,Francisco Cerundolo,5,R32,2026-09-05,Arthur Ashe Stadium,2026-09-05T11:30:00-04:00,upcoming
WTA,Cristina Bucsa,Coco Gauff,3,R32,2026-09-05,Arthur Ashe Stadium,2026-09-05T13:30:00-04:00,upcoming
WTA,Iva Jovic,Alexandra Eala,3,R32,2026-09-05,Arthur Ashe Stadium,2026-09-05T19:00:00-04:00,upcoming
ATP,Alexander Zverev,Alejandro Tabilo,5,R32,2026-09-05,Arthur Ashe Stadium,,upcoming
WTA,Anastasia Potapova,Amanda Anisimova,3,R32,2026-09-05,Louis Armstrong Stadium,2026-09-05T11:00:00-04:00,upcoming
ATP,Alexander Blockx,Flavio Cobolli,5,R32,2026-09-05,Louis Armstrong Stadium,,upcoming
WTA,Naomi Osaka,Elise Mertens,3,R32,2026-09-05,Louis Armstrong Stadium,2026-09-05T19:00:00-04:00,upcoming
ATP,Jakub Mensik,Learner Tien,5,R32,2026-09-05,Louis Armstrong Stadium,,upcoming
WTA,Madison Keys,Qinwen Zheng,3,R32,2026-09-05,Grandstand,2026-09-05T11:00:00-04:00,upcoming
WTA,Iga Swiatek,Marie Bouzkova,3,R32,2026-09-05,Grandstand,,upcoming
ATP,Michael Zheng,Arthur Gea,5,R32,2026-09-05,Grandstand,,upcoming
WTA,Yuliia Starodubtseva,Elena Rybakina,3,R32,2026-09-05,Grandstand,2026-09-05T17:00:00-04:00,upcoming
WTA,Mirra Andreeva,Nikola Bartunkova,3,R32,2026-09-05,Stadium 17,,upcoming
ATP,Karen Khachanov,Benjamin Bonzi,5,R32,2026-09-05,Stadium 17,,upcoming
ATP,Zizou Bergs,Botic van de Zandschulp,5,R32,2026-09-05,Stadium 17,2026-09-05T16:30:00-04:00,upcoming
ATP,Luciano Darderi,Dane Sweeny,5,R32,2026-09-05,Court 5,,upcoming
