tour,player1,player2,best_of,round,date,court,scheduled_start,match_status
WTA,Aryna Sabalenka,Taylor Townsend,3,R16,2026-09-06,Arthur Ashe Stadium,2026-09-06T11:30:00-04:00,upcoming
ATP,Tommy Paul,Carlos Alcaraz,5,R16,2026-09-06,Arthur Ashe Stadium,2026-09-06T14:00:00-04:00,upcoming
ATP,Ben Shelton,Stefanos Tsitsipas,5,R16,2026-09-06,Arthur Ashe Stadium,2026-09-06T19:00:00-04:00,upcoming
WTA,Anna Kalinskaya,Emma Navarro,3,R16,2026-09-06,Arthur Ashe Stadium,,upcoming
WTA,Marta Kostyuk,Linda Noskova,3,R16,2026-09-06,Louis Armstrong Stadium,2026-09-06T12:30:00-04:00,upcoming
ATP,Daniil Medvedev,Frances Tiafoe,5,R16,2026-09-06,Louis Armstrong Stadium,2026-09-06T15:00:00-04:00,upcoming
WTA,Jessica Pegula,Sorana Cirstea,3,R16,2026-09-06,Louis Armstrong Stadium,,upcoming
ATP,Alex Michelsen,Tomas Martin Etcheverry,5,R16,2026-09-06,Grandstand,2026-09-06T14:30:00-04:00,upcoming
